Batata
g ; kcal ; /10 ; R$
A1 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
A2 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
A3 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
A4 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
A5 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
A6 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
A7 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
A8 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
B1 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
B2 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
B3 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
B4 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
B5 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
B6 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
B7 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
B8 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
C1 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
C2 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
C3 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
C4 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
C5 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
C6 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
C7 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
C8 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
D1 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
D2 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
D3 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
D4 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
D5 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
D6 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
D7 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
D8 ; Batata Palha ; Peso 500 ; Calorias: 50 ; Gosto: 10 ; Preco: 45 ; curiosidade 1 ; curiosidade 2 ; curiosidade 3
